ticker,compound,negative,neutral,positive,no_of_posts
PTH,0,0,0,0,0
PTOY,0,0,0,0,0
QRL,0.325,0.0355,0.8795,0.085,2
QTUM,0.678773529,0.021088235,0.913558824,0.065382353,34
QVT,0,0,0,0,0
QYK,0,0,0,0,0
R3S,0,0,0,0,0
RAC,-0.270835294,0.086352941,0.826352941,0.087117647,17
RAWG,0,0,0,0,0
RCC,0.656560417,0.0419375,0.843145833,0.114791667,48
RCN,0.809755,0.03785,0.85103,0.11103,100
REALESTATE,0.7332,0.008571429,0.910714286,0.081,7
REB,0,0,0,0,0
REFER,0.703015,0.02769,0.87767,0.09456,100
REM,0.5762,0.017571429,0.947857143,0.034571429,7
REN,0.578818,0.03027,0.88496,0.0848,100
REP,0.645049231,0.029615385,0.883738462,0.086723077,65
REPUX,0,0,0,0,0
REXX,0,0,0,0,0
RFR,0,0,0,0,0
RGL,0.413715,0.0309,0.89198,0.07713,100
RLC,0.72845,0.0125,0.9585,0.029,2
RLTY,0,0,0,0,0
RNTB,0,0,0,0,0
ROC,0.383569,0.03133,0.89444,0.07423,100
ROX,0,0,1,0,0
RQX,0,0,0,0,0
RSC,0.95645,0.061,0.8315,0.1075,2
RSN,0.837583333,0.031,0.848166667,0.120833333,6
RST,0.626825,0.0534,0.83789,0.1087,100
RTB,0.00085,0.0435,0.85,0.107,2
RTC,0.27388125,0.0335625,0.9235,0.042875,16
RTM,0.9996,0.074,0.817,0.109,1
RTW,-0.782,0.06,0.94,0,2
RVT,0.594475,0.03,0.86975,0.10025,4
RXL,0,0,0,0,0
SAF,0.7208,0.083,0.792,0.125,1
SAM,0.359263514,0.0565,0.863851351,0.079689189,74
SAN,0.748301,0.0383,0.86154,0.10014,100
SAT,0.60284,0.043769231,0.868415385,0.0878,65
SAVG,0.486644,0.02498,0.89764,0.07739,100
SCF,0.08589,0.076166667,0.819966667,0.103766667,30
SCR,0.00065,0.0365,0.908,0.0555,2
SCT,0.7862,0,0.997,0.003,1
SENSE,0.548934,0.05754,0.83771,0.10474,100
SET,0.656236,0.04511,0.84915,0.10569,100
SGN,0.615841,0.0315,0.87847,0.08996,100
SHA,0.585208772,0.054035088,0.845403509,0.100508772,57
SHIP,0.394429851,0.044343284,0.851955224,0.103701493,67
SHP,0.636412,0.04319,0.85113,0.10566,100
SHPING,0,0,0,0,0
SIG,0.710718919,0.036189189,0.865162162,0.098513514,37
SJCX,0.413666667,0.020333333,0.916333333,0.063,6
SKCH,0,0,0,0,0
SKRP,0,0,0,0,0
SLRM,0,0,0,0,0
SLT,0,0,0,0,0
SMOKE,0.20727619,0.082952381,0.816047619,0.101,21
SMRT,0,0,0,0,0
SNGLS,0,0,0,0,0
SNM,-0.190466667,0.092444444,0.811777778,0.095777778,9
SNP,0.7862,0,0.997,0.003,1
SNT,0.389894,0.03578,0.88363,0.08048,100
SOOM,0.747752,0.03101,0.85641,0.11251,100
SPD,-0.3235,0.088333333,0.845,0.067,3
SPEND,0.765854,0.03731,0.85169,0.11092,100
SPHTX,0.0696,0.024333333,0.936,0.039333333,3
SPX,0.91675,0.02975,0.88775,0.0825,4
SQoin,0,0,0,0,0
SRN,0.7803125,0.0319375,0.8685,0.0996875,16
SRNT,0.60098,0.0596,0.8358,0.1044,5
SSH,-0.040788462,0.038692308,0.919846154,0.041615385,26
SSIO,0.749267,0.03451,0.85251,0.11292,100
STAR,0.593061,0.04941,0.84323,0.1073,100
STARS,0.72074,0.03321,0.87024,0.09653,100
STC,0.715383,0.03412,0.86499,0.10086,100
STM,0.391384,0.03677,0.88029,0.08286,100
STORM,0.56754058,0.037173913,0.855869565,0.106985507,69
STQ,0,0,0,0,0
STRAT,-0.020447059,0.028294118,0.934823529,0.036823529,17
STT,0.543775,0.01425,0.89175,0.09375,4
