rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
42.0, Augur,REP,141224124,1.01,90308960,-0.97,2.19,1.07,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2015-10-01 00:00:00,2015-08-17 00:00:00,0,0,0.7722399999999999,0.038130000000000004,0.85561,0.10620999999999996,100.0,876.0,0
92.0, Golem,GNT,44910334,0.012941,185829000,0.36,-1.13,-4.28,Poland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2016-11-14 00:00:00,2016-11-13 00:00:00,1,0,0.389894,0.03578,0.8836299999999999,0.08048,100.0,878.0,0
78.0, iExec RLC,RLC,67656969,4.28,11463179,-0.16,-4.84,-1.41,France,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-04-12 12:00:00,2017-03-12 12:00:00,31,0,0.591653,0.01564,0.90885,0.07558,100.0,881.0,0
568.0, Credit Tag Chain,CTC,3222959,0.007252,0,0.0,-0.69,29.81,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,67,0,0.0,0.0,0.0,0.0,0.0,884.0,0
1144.0, TV-TWO,TTV,394735,0.066089,69648,0.25,-2.15,-3.24,Germany,Ethereum,2018-02-24 13:00:00,2018-01-24 13:00:00,3.7,Closed,ICO,2018-07-24 13:00:00,2018-05-24 13:00:00,29,31,0.0,0.0,0.0,0.0,0.0,886.0,0
162.0, Power Ledger,POWR,20400332,0.325945,5513830,-0.15,0.45,0.99,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-09-14 06:00:00,2017-08-27 06:00:00,0,0,-0.036371605,0.014802468999999999,0.970358025,0.014839506,81.0,887.0,0
172.0, Dent,DENT,18327298,0.345904,2924099,-0.01,-0.65,-3.64,China,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-07-27 01:59:59,2017-07-12 21:38:32,1,0,0.783107,0.04189,0.84736,0.11083,100.0,889.0,0
77.0, MCO,MCO,67699269,0.23270700000000002,53450389,-0.25,-2.76,-2.7,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-06-18 12:30:00,2017-05-18 12:30:00,11,0,0.171648,0.03718,0.91432,0.04855,100.0,890.0,0
300.0, MediBloc,MED,10534581,2.3,35365,-0.47,-5.94,-14.44,Gibraltar,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Trading,ICO,2017-12-15 23:00:00,2017-11-20 13:00:00,29,0,0.26135,0.0225,0.919,0.0585,2.0,890.0,0
1099.0, ATMChain,ATM,473574,0.006765,875,-0.21,-4.88,-7.48,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,3,0,0.0,0.0,0.0,0.0,0.0,896.0,0
29.0, Decred,DCR,347237523,0.256002,73875875,-1.56,-1.64,1.16,,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0,0,0.8302950000000001,0.0316,0.83791,0.13053,100.0,899.0,0
1517.0, IP Exchange,IPSX,84588,0.004082,192,0.09,-1.22,13.22,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2018-03-05 00:00:00,2018-02-28 15:00:00,30,0,-0.0915,0.019,0.9665,0.013999999999999999,2.0,899.0,0
1390.0, HeroNode,HER,146807,0.002363,0,0.0,0.04,-37.62,Gibraltar,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,ICO,2018-02-25 23:00:00,2018-02-05 00:00:00,37,0,0.9998,0.019,0.8690000000000001,0.11199999999999999,1.0,899.0,0
212.0, Bitbook Gambling,BXK,77744239,0.317604,9262723,-0.71,1.03,-5.46,,Ethereum,2019-02-15 00:00:00,2019-02-01 00:00:00,3.9,Closed,ICO,2019-03-31 00:00:00,2019-02-16 00:00:00,36,14,0.09434,0.032,0.9324,0.0356,5.0,899.0,0
878.0, Humaniq,HMQ,1056773,0.044641,11,-0.21,-0.09,7.95,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-04-30 00:00:00,2017-04-06 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,900.0,0
