country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Humaniq,ICO,2017-04-30 00:00:00,2017-04-06 00:00:00,24 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Hacken,ICO,2017-11-30 12:00:00,2017-10-31 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Unknown,Hacker Gold,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Trading,HireMatch,ICO,2018-02-15 12:00:00,2017-11-01 12:00:00,106 days 00:00:00.000000000,0 days 00:00:00.000000000
Malaysia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,HelloGold,ICO,2017-10-02 12:00:00,2017-08-28 12:00:00,35 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-10 00:00:00,2017-11-20 00:00:00,5.0,Closed,Gizer,ICO,2018-04-10 00:00:00,2018-03-15 13:00:00,25 days 11:00:00.000000000,20 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Genesis Vision,ICO,2017-11-15 12:00:00,2017-10-15 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
Israel,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Matchpool,ICO,2017-04-04 00:00:00,2017-04-02 00:00:00,2 days 00:00:00.000000000,0 days 00:00:00.000000000
Cayman Islands,Ethereum,2018-08-07 00:00:00,2018-07-06 00:00:00,4.4,Closed,Sentigragh,ICO,2018-10-01 00:00:00,2018-08-31 00:00:00,31 days 00:00:00.000000000,32 days 00:00:00.000000000
Poland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Golem,ICO,2016-11-14 00:00:00,2016-11-13 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
Germany,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Gnosis,ICO,2017-04-14 13:00:00,2017-04-14 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2018-01-14 00:00:00,2017-12-04 12:00:00,3.5,Closed,Galactikka,ICO,2018-02-25 00:00:00,2018-01-15 12:00:00,40 days 12:00:00.000000000,40 days 12:00:00.000000000
